#alpha, N0[Imp/s], NAl[Imp/s]
7.0,	226.0, 113.5
7.1,	232.0, 112.0
7.2,	240.5, 112.0
7.3,	248.0, 113.5
7.4,	255.0, 115.0   
7.5,	262.0, 113.5
7.6,	269.0, 113.0
7.7,	276.0, 114.5
7.8,	281.0, 114.0    
7.9,	289.5, 112.0
8.0,	295.0, 109.5
8.1,	300.0, 109.0
8.2,	308.5, 108.0
8.3,	311.0, 106.0      
8.4,	317.0, 104.5
8.5,	324.0, 101.5
8.6,	328.5, 100.0
8.7,	332.5, 100.5
8.8,	337.0, 97.5
8.9,	340.5, 95.0
9.0,	348.0, 92.5
9.1,	350.0, 89.5
9.2,	353.0, 88.0
9.3,	356.5, 84.5
9.4,	359.0, 83.0
9.5,	363.5, 81.0
9.6,	367.0, 78.5
9.7,	369.0, 76.0
9.8,	370.5, 74.0
9.9,	375.0, 72.0
10.0,   375.5, 68.5